geoffkeighley,There are not enough data to analyze the account
PlayStation,There are not enough data to analyze the account
thegameawards,Neutral
CNN,There are not enough data to analyze the account
yozetty,There are not enough data to analyze the account
EddieMakuch,Neutral
inkydojikko,There are not enough data to analyze the account
Charalanahzard,Neutral
tamoorh,There are not enough data to analyze the account
michaelphigham,There are not enough data to analyze the account
GameSpot,Neutral
CBSi,There are not enough data to analyze the account
sophiatong,There are not enough data to analyze the account
FacebookGaming,Neutral
WatchMixer,Neutral
streamlabs,Neutral
9GAG,There are not enough data to analyze the account
cnni,There are not enough data to analyze the account
TIME,There are not enough data to analyze the account
eurogamer,Neutral
Reuters,There are not enough data to analyze the account
SkyNews,There are not enough data to analyze the account
WIRED,Neutral
verge,Neutral
DOOM,Neutral
EpicGames,Neutral
PanicButtonGame,Neutral
realnewsgeek,There are not enough data to analyze the account
Steam,There are not enough data to analyze the account
TechCrunch,There are not enough data to analyze the account
IGDA,There are not enough data to analyze the account
EA,Neutral
getFANDOM,Neutral
Twitch,There are not enough data to analyze the account
YouTubeGaming,Neutral
LootGamingHQ,There are not enough data to analyze the account
GameStop,Neutral
ASTROGaming,There are not enough data to analyze the account
TwitterGaming,Neutral
NoMansSky,Neutral
yosp,There are not enough data to analyze the account
VergeScience,There are not enough data to analyze the account
LinusTech,There are not enough data to analyze the account
Razer,There are not enough data to analyze the account
jackboxgames,Neutral
tha_rami,There are not enough data to analyze the account
Jazzzy,There are not enough data to analyze the account
_mikezuba,There are not enough data to analyze the account
BloodyfasterTV,There are not enough data to analyze the account
justin_moore,There are not enough data to analyze the account
aarongreenberg,Neutral
majornelson,Neutral
HYPEBEAST,Neutral
albertpenello,Neutral
JeffGrubb,Neutral
JezCorden,Neutral
RyneWallin,Neutral