geoffkeighley,Neutral
PlayStation,Neutral
thegameawards,Neutral
CNN,Neutral
yozetty,Neutral
EddieMakuch,Neutral
inkydojikko,There are not enough data to analyze the account
Charalanahzard,Neutral
tamoorh,Neutral
michaelphigham,Neutral
GameSpot,Neutral
CBSi,Neutral
sophiatong,There are not enough data to analyze the account
FacebookGaming,Neutral
WatchMixer,Neutral
streamlabs,There are not enough data to analyze the account
9GAG,Neutral
cnni,Neutral
TIME,Neutral
eurogamer,Neutral
Reuters,Neutral
SkyNews,Neutral
WIRED,Neutral
verge,Neutral
DOOM,Neutral
EpicGames,Neutral
PanicButtonGame,Neutral
realnewsgeek,Neutral
Steam,There are not enough data to analyze the account
TechCrunch,Neutral
IGDA,There are not enough data to analyze the account
EA,Neutral
getFANDOM,Neutral
Twitch,Neutral
YouTubeGaming,Neutral
LootGamingHQ,Neutral
GameStop,Neutral
ASTROGaming,Neutral
TwitterGaming,Neutral
NoMansSky,Neutral
yosp,Neutral
VergeScience,There are not enough data to analyze the account
LinusTech,Neutral
Razer,Neutral
jackboxgames,Neutral
tha_rami,Neutral
Jazzzy,There are not enough data to analyze the account
_mikezuba,There are not enough data to analyze the account
BloodyfasterTV,Neutral
justin_moore,Neutral